"season","pageIDs201415","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2014 / 2015",64573,"UC Capitals","UC Capitals","Home","Sydney Uni","69",66,3,"24","64","37.5","6","19","31.6","15","22","68.2","30","8","38","13","9","4","3","2","18","23","7","4","0","6","24"
"2014 / 2015",64573,"Sydney Uni","Sydney Uni","Away","UC Capitals","66",69,-3,"24","68","35.3","6","26","23.1","12","17","70.6","29","12","41","13","9","3","2","3","23","18","11","4","0","16","18"
"2014 / 2015",64574,"Adelaide","Adelaide","Home","Townsville","75",98,-23,"28","67","41.8","6","19","31.6","13","14","92.9","26","8","34","11","19","4","0","3","17","17","10","2","0","20","32"
"2014 / 2015",64574,"Townsville","Townsville","Away","Adelaide","98",75,23,"36","73","49.3","11","21","52.4","15","19","78.9","26","7","33","20","10","8","3","0","17","17","18","10","0","27","30"
"2014 / 2015",64575,"Dandenong","Dandenong","Home","Bendigo","89",82,7,"37","76","48.7","4","14","28.6","11","11","100","26","10","36","17","13","5","4","4","21","17","8","4","6","12","46"
"2014 / 2015",64575,"Bendigo","Bendigo","Away","Dandenong","82",89,-7,"29","74","39.2","7","23","30.4","17","22","77.3","25","13","38","15","11","4","4","4","17","21","11","7","0","9","32"
"2014 / 2015",64576,"Sydney Uni","Sydney Uni","Home","Melbourne","88",73,15,"32","63","50.8","11","18","61.1","13","15","86.7","18","8","26","15","15","10","7","1","15","13","21","8","0","24","32"
"2014 / 2015",64576,"Melbourne","Melbourne","Away","Sydney Uni","73",88,-15,"29","67","43.3","6","15","40","9","12","75","24","18","42","15","23","2","1","7","13","14","12","7","0","6","34"
"2014 / 2015",64577,"West Coast","West Coast","Home","Townsville","72",92,-20,"29","65","44.6","7","19","36.8","7","13","53.8","24","6","30","11","14","3","1","4","11","22","5","4","0","23","34"
"2014 / 2015",64577,"Townsville","Townsville","Away","West Coast","92",72,20,"38","74","51.4","10","22","45.5","6","9","66.7","28","9","37","23","10","2","4","1","22","11","19","12","0","24","34"
"2014 / 2015",64578,"Bendigo","Bendigo","Home","UC Capitals","70",73,-3,"25","58","43.1","5","13","38.5","15","19","78.9","23","10","33","13","16","9","3","4","21","19","15","7","2","7","22"
"2014 / 2015",64578,"UC Capitals","UC Capitals","Away","Bendigo","73",70,3,"24","66","36.4","9","25","36","16","17","94.1","22","12","34","12","16","4","4","3","19","20","8","4","0","7","20"
"2014 / 2015",64579,"Dandenong","Dandenong","Home","Adelaide","95",64,31,"36","74","48.6","8","16","50","15","17","88.2","32","9","41","25","8","9","2","1","21","16","14","14","6","23","40"
"2014 / 2015",64579,"Adelaide","Adelaide","Away","Dandenong","64",95,-31,"21","65","32.3","5","23","21.7","17","27","63","23","15","38","15","15","2","1","2","16","21","5","14","2","31","30"
"2014 / 2015",64580,"Melbourne","Melbourne","Home","UC Capitals","66",74,-8,"24","67","35.8","8","18","44.4","10","12","83.3","14","9","23","12","9","7","0","7","17","18","9","6","2","17","22"
"2014 / 2015",64580,"UC Capitals","UC Capitals","Away","Melbourne","74",66,8,"27","54","50","5","14","35.7","15","16","93.8","30","11","41","18","17","3","7","0","18","17","6","7","0","10","28"
"2014 / 2015",64581,"Townsville","Fire","Home","Sydney Uni","93",60,33,"36","73","49.3","6","19","31.6","15","19","78.9","30","12","42","18","18","8","4","1","13","21","25","12","0","33","48"
"2014 / 2015",64581,"Sydney Uni","Flames","Away","Townsville","60",93,-33,"22","67","32.8","7","21","33.3","9","12","75","20","10","30","14","21","6","1","5","21","13","8","8","0","25","24"
"2014 / 2015",64582,"West Coast","West Coast","Home","Bendigo","55",80,-25,"23","68","33.8","3","13","23.1","6","11","54.5","24","13","37","13","14","8","3","2","11","18","10","10","0","24","34"
"2014 / 2015",64582,"Bendigo","Bendigo","Away","West Coast","80",55,25,"30","61","49.2","7","18","38.9","13","15","86.7","35","7","42","17","15","6","2","3","18","11","14","6","2","17","40"
"2014 / 2015",64583,"UC Capitals","UC Capitals","Home","Adelaide","71",79,-8,"25","64","39.1","8","27","29.6","13","14","92.9","17","6","23","12","15","7","8","2","21","18","13","3","0","9","24"
"2014 / 2015",64583,"Adelaide","Adelaide","Away","UC Capitals","79",71,8,"30","58","51.7","5","15","33.3","14","22","63.6","27","7","34","11","16","6","2","8","18","21","13","4","2","25","32"
"2014 / 2015",64584,"Dandenong","Dandenong","Home","West Coast","87",80,7,"30","69","43.5","3","20","15","24","24","100","27","9","36","15","5","9","0","1","20","18","17","6","6","14","40"
